"","state_abb","county_code","county_lon","county_lat","state_name","county_name","insurer_hhi_2015","rucc_code_13","hospital_hhi_2014","no_hospitals","rucc_code_13.f","rating_area","state_fips","rating_area_state","rating_area.f","insurer_hhi_logged","hospital_hhi_logged","poverty_rate","median_age","total_popn","white_popn","black_popn","native_popn","white_popn_percent","black_popn_percent","native_popn_percent","region","region.f","year"
"1","AL","01001",-86.64274924,32.53492019,"Alabama","Autauga County, AL",7097.49116652525,2,5360.75641261302,FALSE,"2","11","1","AL11","AL11",8.86749664375674,8.58686036586427,12.8,37.9,55136,43011,10257,2032,0.78008923389437,0.186030905397562,0.0368543238537435,"South","South",2015
"2","AL","01003",-87.74984008,30.66096966,"Alabama","Baldwin County, AL",7608.52067855633,3,1885.77724346213,FALSE,"3","13","1","AL13","AL13",8.93702404017948,7.54209534564629,13.8,41.8,191205,165673,17907,6061,0.866467927093957,0.0936534086451714,0.031698961847232,"South","South",2015
"3","AL","01005",-85.39319698,31.86960324,"Alabama","Barbour County, AL",6913.93880940719,6,1829.04736389255,FALSE,"6","13","1","AL13","AL13",8.84129477019757,7.51155054411492,24.1,38.3,27119,12806,12565,777,0.47221505217744,0.463328293816144,0.0286514989490763,"South","South",2015
"4","AL","01007",-87.1264391,32.9986443,"Alabama","Bibb County, AL",6842.47641489151,1,2155.855093838,FALSE,"1","3","1","AL3","AL3",8.83090499405343,7.67594271911987,17,40,22653,17379,4797,640,0.767183154549066,0.21176003178387,0.0282523286098971,"South","South",2015
"5","AL","01009",-86.56737096,33.98086739,"Alabama","Blount County, AL",6628.38189742606,1,1960.08693364675,FALSE,"1","3","1","AL3","AL3",8.79911599568952,7.58074410514236,17.3,40.2,57645,54927,885,1615,0.952849336455894,0.0153525891230809,0.0280163067048313,"South","South",2015
"6","AL","01011",-85.71569723,32.10055422,"Alabama","Bullock County, AL",5313.55485157074,6,4422.03366392677,FALSE,"6","13","1","AL13","AL13",8.57801635381785,8.39435497421672,20.5,38.5,10693,2803,7640,467,0.262134106424764,0.714486112409988,0.0436734312166838,"South","South",2015
"7","AL","01013",-86.68028922,31.75243394,"Alabama","Butler County, AL",7289.93687518266,6,2184.68189013813,FALSE,"6","13","1","AL13","AL13",8.89425016586818,7.68922550889326,25.9,40.5,20523,11204,8975,805,0.545924085172733,0.437314232811967,0.0392242849485943,"South","South",2015
"8","AL","01015",-85.82603461,33.7714282,"Alabama","Calhoun County, AL",5300.01910156218,3,4394.45089013076,FALSE,"3","1","1","AL1","AL1",8.57546570360205,8.38809786263921,21.7,38.8,117186,88125,24396,3851,0.752009625723209,0.208181864727869,0.0328622873039442,"South","South",2015
"9","AL","01017",-85.39204295,32.91437223,"Alabama","Chambers County, AL",6385.24720721734,6,1837.01479550289,FALSE,"6","13","1","AL13","AL13",8.76174548458753,7.51589713934866,23.9,43.1,34091,19771,13722,1123,0.579947786805902,0.402510926637529,0.032941245490012,"South","South",2015
"10","AL","01019",-85.60379372,34.17595597,"Alabama","Cherokee County, AL",8287.49596645596,6,2037.5041178197,FALSE,"6","13","1","AL13","AL13",9.02250314779185,7.61948086612878,21,45.2,26042,24207,1283,657,0.929536901927655,0.0492665693879118,0.0252284770754934,"South","South",2015
"11","AL","01021",-86.71881367,32.84785321,"Alabama","Chilton County, AL",7319.07451167013,1,1874.06628156649,FALSE,"1","3","1","AL3","AL3",8.8982391661301,7.53586583120518,18.8,38.3,43781,37018,4484,1519,0.845526598296064,0.102418857495261,0.0346954158196478,"South","South",2015
"12","AL","01023",-88.26320127,32.01961078,"Alabama","Choctaw County, AL",5098.5999279638,9,2526.58740851401,FALSE,"9","13","1","AL13","AL13",8.53672125709516,7.8346248208143,21.5,44.6,13546,7558,5896,365,0.557950686549535,0.435257640631921,0.0269452236822678,"South","South",2015
"13","AL","01025",-87.83080985,31.67665958,"Alabama","Clarke County, AL",7036.02402123389,7,3679.29378335922,FALSE,"7","13","1","AL13","AL13",8.85879851989851,8.21047610605067,27,41.1,25331,13613,11401,708,0.537404760964826,0.450080928506573,0.0279499427578856,"South","South",2015
"14","AL","01027",-85.86054708,33.26908587,"Alabama","Clay County, AL",5020.97860240821,9,1687.64435419155,FALSE,"9","13","1","AL13","AL13",8.52138013440607,7.43108896231269,18.7,43.6,13617,11150,1986,373,0.818829404420944,0.145847102886098,0.0273922303003598,"South","South",2015
"15","AL","01029",-85.51876803,33.67455771,"Alabama","Cleburne County, AL",9182.33840596352,8,2281.39862907715,FALSE,"8","13","1","AL13","AL13",9.12503717949525,7.73254396768065,18.1,41.3,14990,14095,430,432,0.940293529019346,0.028685790527018,0.028819212808539,"South","South",2015
"16","AL","01031",-85.98820693,31.40262718,"Alabama","Coffee County, AL",6898.79873518035,4,3201.11974450739,FALSE,"4","13","1","AL13","AL13",8.83910257907815,8.0712559477386,18.8,38.2,50726,39064,8671,1606,0.77009817450617,0.170937980522809,0.0316602925521429,"South","South",2015
"17","AL","01033",-87.80498529,34.7004338,"Alabama","Colbert County, AL",6300.27205387383,3,2565.67524399477,FALSE,"3","7","1","AL7","AL7",8.74834809460184,7.84997697597928,18.3,42.3,54491,43356,8712,1868,0.795654328237691,0.159879613147125,0.0342808904222716,"South","South",2015
"18","AL","01035",-86.99367421,31.42927154,"Alabama","Conecuh County, AL",5087.11846823998,7,1926.67519330481,FALSE,"7","13","1","AL13","AL13",8.53446683298092,7.56355109857925,32.9,43.6,12985,6778,5821,389,0.521986907970735,0.448286484405083,0.0299576434347324,"South","South",2015
"19","AL","01037",-86.24765926,32.93622683,"Alabama","Coosa County, AL",5057.44622317917,8,2066.68352799375,FALSE,"8","13","1","AL13","AL13",8.52861693590167,7.63370044103844,20,44.8,11247,7549,3524,262,0.671201209211345,0.313327998577398,0.0232951009157998,"South","South",2015
"20","AL","01039",-86.45124254,31.2484924,"Alabama","Covington County, AL",8792.92403746098,6,3538.68373063352,FALSE,"6","13","1","AL13","AL13",9.08170259036306,8.17151010947818,20.1,42.6,37881,32025,4868,1118,0.845410628019324,0.128507695150603,0.0295134764129775,"South","South",2015
"21","AL","01041",-86.3135389,31.73150018,"Alabama","Crenshaw County, AL",5171.30425705345,8,3393.96391131156,FALSE,"8","13","1","AL13","AL13",8.55088020977829,8.12975381265324,17.2,41,13938,10007,3269,444,0.717965274788348,0.23453867125843,0.0318553594489884,"South","South",2015
"22","AL","01043",-86.86761942,34.1319411,"Alabama","Cullman County, AL",5041.95227831202,4,2663.6805552001,FALSE,"4","13","1","AL13","AL13",8.52554864287007,7.88746411275862,18,40.5,80668,77079,1096,2549,0.955508999851242,0.0135865522883919,0.0315986512619626,"South","South",2015
