"county_code","state_abb","county_lon","county_lat","state_name","county_name","insurer_hhi_2016","num_insurers","rucc_code_13","hospital_hhi_2015","hospital_hhi_2015_1","hospital_hhi_2015_2","hospital_hhi_2015_3","num_hospitals","unum_hospitals","no_hospitals","no_hospitals_1","no_hospitals_2","no_hospitals_3","rucc_code_13.f","rating_area","state_fips","rating_area_state","rating_area.f","insurer_hhi_logged","hospital_hhi_logged","hospital_hhi_logged_1","hospital_hhi_logged_2","hospital_hhi_logged_3","poverty_rate","median_age","total_popn","white_popn","black_popn","native_popn","white_popn_percent","black_popn_percent","native_popn_percent","region","region.f","mlr","medicaid_expansion","state_govt","medicare_pc","year","single_county_RA"
"10001","DE",-75.5046137,39.09595454,"Delaware","Kent County, DE",8032.25039092877,3,3,4670.76875531175,10000,1836.4335617805,10000,5,5,FALSE,FALSE,FALSE,FALSE,"3","1","10","DE1","DE1",8.99122001561502,8.44907895281371,9.21034037197618,7.51558068806327,9.21034037197618,13.5,37,169509,113925,41211,5476,0.672088207705785,0.243119834345079,0.0323050693473503,"South","South",158,"Adopted","Dem",10325.92,2016,FALSE
"10003","DE",-75.63897813,39.5783299,"Delaware","New Castle County, DE",8005.92458463542,3,1,2342.08762713717,7638.60043527922,1159.37883578556,5646.90016472759,25,27,FALSE,FALSE,FALSE,FALSE,"1","1","10","DE1","DE1",8.98793711965247,7.75879795897317,8.94096967627982,7.05563965428461,8.63886203016957,11.4,37.5,549643,359848,133019,16860,0.654694046863146,0.242009813642674,0.0306744559650537,"South","South",158,"Adopted","Dem",10488.7,2016,FALSE
"10005","DE",-75.33954172,38.68329735,"Delaware","Sussex County, DE",8228.14039946049,3,2,2447.12007192244,4926.14626353845,1889.44533720746,3673.03883404962,8,9,FALSE,FALSE,FALSE,FALSE,"2","1","10","DE1","DE1",9.01531531424667,7.80266713127129,8.50231227039121,7.54403859260524,8.20877461860604,12.6,47,207302,168850,26251,5888,0.814512161001823,0.126631677456079,0.0284030062421009,"South","South",158,"Adopted","Dem",9711.04,2016,FALSE
"12001","FL",-82.35770155,29.67475499,"Florida","Alachua County, FL",6037.98888547741,3,2,3547.90371297933,4013.2511515718,3267.27298760984,4013.2511515718,4,7,FALSE,FALSE,FALSE,FALSE,"2","1","12","FL1","FL1",8.70582626950282,8.17411220466757,8.29735695280194,8.09171096721943,8.29735695280194,24.3,30.8,254218,177612,50580,6190,0.698660205020888,0.198963094666782,0.0243491806245034,"South","South",58,"Not Adopted","Rep",10485.05,2016,TRUE
"12003","FL",-82.28458727,30.33107099,"Florida","Baker County, FL",6244.36471384906,3,1,2554.67204072359,5063.26543265331,2923.38194992658,10000,5,6,FALSE,FALSE,FALSE,FALSE,"1","2","12","FL2","FL2",8.73943469021924,7.84567913460391,8.52976689655924,7.98049642709344,9.21034037197618,18.1,36.6,27135,22649,3938,1013,0.834678459554081,0.145126220748111,0.0373318592224065,"South","South",58,"Not Adopted","Rep",11492.43,2016,TRUE
"12005","FL",-85.63262281,30.23764653,"Florida","Bay County, FL",9180.27767562021,3,3,2638.76850096063,2924.46649748412,2304.31462661075,2924.46649748412,8,9,FALSE,FALSE,FALSE,FALSE,"3","3","12","FL3","FL3",9.12481273104599,7.87806761039731,7.98086734900762,7.74253856918146,7.98086734900762,15.2,39.8,175353,143910,18881,5051,0.820687413388993,0.107674234258895,0.0288047538393982,"South","South",58,"Not Adopted","Rep",10373.52,2016,TRUE
"12007","FL",-82.16877777,29.94995957,"Florida","Bradford County, FL",6231.91692270665,3,6,2780.57887561258,10000,2750.12436081882,3592.10406271658,8,11,FALSE,FALSE,FALSE,FALSE,"6","4","12","FL4","FL4",8.7374392567022,7.93041441364573,9.21034037197618,7.91940141175406,8.18649339969192,20.6,39.6,27223,21123,5457,937,0.775924769496382,0.200455497189876,0.0344194247511296,"South","South",58,"Not Adopted","Rep",11242.81,2016,TRUE
"12009","FL",-80.70120548,28.30031414,"Florida","Brevard County, FL",3223.75417621902,5,2,4237.34068864415,4725.48374975749,3909.38016652967,4237.34068864415,4,8,FALSE,FALSE,FALSE,FALSE,"2","5","12","FL5","FL5",8.07830185264846,8.35169115538177,8.46072521558833,8.27113411522874,8.35169115538177,14,46.6,553591,459762,56914,14367,0.83050844395953,0.102808752309918,0.0259523727806269,"South","South",58,"Not Adopted","Rep",10213.6,2016,TRUE
"12011","FL",-80.45588425,26.15185604,"Florida","Broward County, FL",5378.83576411422,7,1,1843.19762030943,3318.3013346811,1374.75916588535,2105.93200501187,13,21,FALSE,FALSE,FALSE,FALSE,"1","6","12","FL6","FL6",8.59022722901555,7.51925717943598,8.10720828479457,7.22603384267637,7.65251340585355,14.5,40,1843152,1154135,513087,56874,0.626174618262628,0.278374762363603,0.0308569233573791,"South","South",58,"Not Adopted","Rep",13250.16,2016,TRUE
"12013","FL",-85.19720714,30.40603433,"Florida","Calhoun County, FL",6767.08103416207,2,6,3594.04102892092,6083.11510828822,1853.27222823634,5002.52223397867,6,6,FALSE,FALSE,FALSE,FALSE,"6","7","12","FL7","FL7",8.81982511106256,8.1870324832274,8.71327219708893,7.52470812765691,8.51769751102146,19.3,40.5,14615,11875,1963,492,0.812521382141635,0.134314060896339,0.0336640437906261,"South","South",58,"Not Adopted","Rep",10071.63,2016,TRUE
"12015","FL",-81.95031597,26.89984327,"Florida","Charlotte County, FL",3419.54250855151,4,3,5361.38574977228,3400.68064286183,4705.85213606733,4928.23498728602,4,8,FALSE,FALSE,FALSE,FALSE,"3","8","12","FL8","FL8",8.13726205167934,8.5869777560556,8.1317308796461,8.45656214849349,8.50273618818487,12.2,57.3,165783,150032,9294,2724,0.904990258349771,0.0560612366768607,0.016431117786504,"South","South",58,"Not Adopted","Rep",10035.73,2016,TRUE
"12017","FL",-82.52010673,28.84756969,"Florida","Citrus County, FL",6841.99954200809,3,3,5411.74243038227,5210.4223036934,4991.25168312013,5411.74243038227,2,4,FALSE,FALSE,FALSE,FALSE,"3","9","12","FL9","FL9",8.83083529859924,8.59632639584147,8.55841618783362,8.51544199559152,8.59632639584147,17.4,55.4,139654,130285,4179,2536,0.932912770131897,0.0299239549171524,0.0181591647929884,"South","South",58,"Not Adopted","Rep",9260.81,2016,TRUE
