State and County FIPS Code,Actual Per Capita Costs
2013,6096.02
2016,13278.86
2020,8527.95
2050,10697.06
2060,9954.49
2068,5375.49
2070,11966.11
2090,7637.77
2100,7760.6
2105,6701.81
2110,7517.35
2122,8390.71
2130,10092.6
2150,10858.32
2164,12155.85
2170,8358.6
2180,13842.02
2185,15681.19
2188,12700.63
2195,8945.95
2198,7715.87
2220,12017.1
2230,7635.99
2240,7562.89
2999,*
2261,9073.93
2270,11561.42
2275,13107.07
2282,10471.99
2290,7020.95
,8677.32
1001,7916.6
1003,7835.91
1005,8912.21
1007,9208.53
1009,8297.81
1011,8789.91
1013,9077.47
1015,9063.17
1017,7409.47
1019,8974.5
1021,8955.73
1023,10232.16
1025,8372.83
1027,8218.4
1029,9049.21
1031,7851.54
1033,8706.86
1035,8857.69
1037,8701.82
1039,8794.29
1041,8594.77
1043,8560.55
1045,8372.48
1047,9200.98
1049,7950.45
1051,8143.89
1053,9795.38
1055,9744.71
1057,8692.43
1059,8882.27
1061,8032.23
1063,9344.48
1065,8436.16
1067,8405.1
1069,8363.48
1071,8887.8
1073,9034.43
1075,8393.15
1077,7942.13
1079,8298.06
1081,7416.12
1083,8903.64
1085,9079.65
1087,7592.67
1089,9009.73
1091,8666.46
1093,8552.06
1095,8722.44
1097,8872.09
1099,8112.26
1101,8558.6
1103,8464.54
1105,8844.52
1107,8467.79
1109,8839.65
1111,8571.12
1113,9045.37
1117,8414.87
1115,8878.08
1119,8920.84
1121,8871.74
1123,8543.29
1125,9284.81
1999,*
1127,9035.99
1129,8004.88
1131,7934.61
1133,9171.31
,8300.6
5001,7989.83
5003,9256.27
5005,7376.26
5007,8366.01
5009,7261.43
5011,9716.56
5013,8271.92
5015,7085.04
5017,9495.26
5019,7276.52
5021,8623.55
5023,7154.66
5025,8174.63
5027,8618.27
5029,7935.53
5031,8308.35
5033,8287.55
5035,9131.41
5037,8433.46
5039,8524.44
5041,10623.88
5043,9779.03
5045,7998.26
5047,8324.21
5049,7803.71
5051,8368.33
5053,8319.4
5055,8179.26
5057,8702.71
5059,8409.65
5061,8763.16
5063,8740.93
5065,7781.51
5067,9674.48
5069,8212.39
5071,7176.44
5073,9143.34
5075,8540.16
5077,8538.92
5079,8529.18
5081,10445.83
5083,8481.76
5085,8377.49
5087,6778.6
5089,6984.24
5091,8958.09
5093,8724.44
5095,9164.06
5097,7328.89
5099,7744.35
5101,6212.14
5103,8000.5
5105,7381.73
5107,8455.98
5109,7857.03
5111,9115.4
5113,7752.96
5115,7798.45
5117,8270.49
