"","project_id","week","day","hour","num_authors"
"1",14008865,0,2,5,1
"2",29907465,0,2,5,1
"3",14457440,0,3,14,1
"4",30297648,0,2,19,1
"5",41906902,0,1,18,1
"6",2534473,0,4,15,1
"7",13680933,0,1,10,1
"8",30432396,0,2,20,1
"9",69663,0,1,6,1
"10",28447787,0,1,7,1
"11",28789567,0,1,16,1
"12",6749606,0,2,10,1
"13",29214983,0,2,0,1
"14",11506652,0,1,9,1
"15",2637064,0,2,0,1
"16",26609044,0,1,18,1
"17",9727517,0,2,0,1
"18",14576577,0,3,10,1
"19",24223412,0,5,14,1
"20",90674,0,1,17,1
"21",11572857,0,3,14,1
"22",20170390,0,2,10,1
"23",26052818,0,1,13,1
"24",6924734,0,3,18,1
"25",13690972,0,3,11,1
"26",11666347,0,3,5,1
"27",14652374,0,1,8,1
"28",1957357,0,3,12,1
"29",10358009,0,1,13,1
"30",522863,0,4,13,1
"31",30424325,0,1,20,1
"32",16153568,0,1,23,1
"33",29781946,0,2,4,1
"34",14361364,0,2,23,1
"35",30325875,0,1,17,1
"36",13712884,0,2,18,1
"37",13833843,0,3,18,1
"38",26147053,0,2,16,1
"39",12396851,0,3,15,1
"40",30423358,0,1,18,1
"41",6006586,0,1,1,1
"42",9700205,0,1,7,1
"43",7183308,0,3,6,1
"44",14657520,0,3,15,1
"45",7232779,0,4,23,1
"46",14703707,0,3,15,1
"47",29812475,0,2,14,1
"48",37935359,0,3,16,1
"49",12545311,0,2,11,1
"50",22756186,0,2,19,1
"51",8636395,0,2,21,1
"52",29871311,0,1,20,1
"53",14618668,0,2,2,1
"54",8747709,0,2,8,1
"55",7194141,0,1,12,1
"56",12189192,0,1,12,1
"57",14368093,0,3,18,1
"58",14657057,0,1,15,1
"59",14526572,0,2,12,1
"60",14653862,0,1,10,1
"61",18411,0,4,20,1
"62",7187942,0,4,0,1
"63",29131646,0,2,7,1
"64",16745764,0,2,23,1
"65",14414855,0,2,23,1
"66",9753786,0,2,19,1
"67",26703509,0,1,18,1
"68",30430223,0,2,2,1
"69",40915030,0,4,0,1
"70",5547615,0,1,19,1
"71",22871752,0,5,12,1
"72",27550694,0,3,17,1
"73",21544106,0,2,7,1
"74",829705,0,3,19,1
"75",3643457,0,4,20,1
"76",30412348,0,2,4,1
"77",5005870,0,3,15,1
"78",7106032,0,1,14,1
"79",13759258,0,2,9,1
"80",30416308,0,2,23,1
"81",12674810,0,2,17,1
"82",1448526,0,5,16,1
"83",6191845,0,4,14,1
"84",28984479,0,2,12,1
"85",29846237,0,2,2,1
"86",12951521,0,1,10,1
"87",6437831,0,2,13,1
"88",1796833,0,3,16,1
"89",196146,0,5,15,1
"90",30375861,0,1,21,1
"91",38676037,0,3,4,1
"92",6959672,0,2,16,1
"93",33517947,0,2,12,1
"94",7300349,0,3,11,1
"95",2260521,53,30,15,1
"96",7230797,0,4,16,1
"97",5385094,0,1,19,1
"98",14583668,0,1,0,1
"99",30412760,0,1,4,1
"100",14696597,0,3,7,1
"101",14432910,0,1,19,1
"102",7186592,0,3,18,1
"103",30044367,0,2,13,1
"104",2423706,0,4,2,1
"105",13822620,0,3,13,1
"106",6307209,0,2,14,1
"107",26246718,0,1,13,1
"108",2941282,0,2,8,1
"109",14684814,0,2,19,1
"110",2242341,0,4,21,1
"111",30441952,0,2,18,1
